,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,GCGC,Jupyter Notebook
36,homebrew-apple,Ruby
37,HomeKitADK,C
38,indexstore-db,C++
39,learning-compressible-subspaces,Python
40,learning-subspaces,Python
41,llvm-monorepo-root,
42,llvm-project,
43,llvm-project-v5,C++
44,llvm-project-v5-split,C++
45,MaterialX,
46,ml-afv,Python
47,ml-all-pairs,Python
48,ml-ane-transformers,Python
49,ml-aspanformer,Python
50,ml-autofocusformer,Python
51,ml-autofocusformer-segmentation,Python
52,ml-batchquant,Python
53,ml-calibration,Jupyter Notebook
54,ml-capsules-inverted-attention-routing,Python
55,ml-cifar-10-faster,Python
56,ml-code-switched-speech-translation,Python
57,ml-collegial-ensembles,Python
58,ml-core,Python
59,ml-covid-mobility,R
60,ml-cread,Python
61,ml-cvnets,Python
62,ml-cvpr2019-swd,Python
63,ml-dab,Python
64,ml-data-parameters,Python
65,ml-destseg,Python
66,ml-dms-dataset,Python
67,ml-dprecs,Jupyter Notebook
68,ml-dr,Python
69,ml-duet,Python
70,ml-entropy-reconstruction,Python
71,ml-envmapnet,Python
72,ml-equivariant-neural-rendering,Jupyter Notebook
73,ml-facelit,Python
74,ml-fastvit,Python
75,ml-fct,Python
76,ml-finerecon,Python
77,ml-flair,Jupyter Notebook
78,ml-gaudi,
79,ml-gmpi,Python
80,ml-gsn,Python
81,ml-heart-rate-models,Python
82,ml-hierarchical-confusion-matrix,TypeScript
83,ml-hypersim,Python
84,ml-interspeech2022-phi_rtn,
85,ml-knowledge-conflicts,Python
86,ml-live-pose,
87,ml-mkqa,Python
88,ml-mobileone,Swift
89,ml-multiple-futures-prediction,Python
90,ml-ncg,Python
91,ml-neilf,Python
92,ml-neilfpp,Python
93,ml-neuman,Python
94,ml-no-token-left-behind,Jupyter Notebook
95,ml-pointconvformer,Python
96,ml-pointersect,Python
97,ml-probabilistic-attention,Python
98,ml-projunit,Python
99,ml-qrecc,Python
100,ml-quant,Python
101,ml-robust-expert-augmentations,Python
102,ml-sad,Python
103,ml-selfcond,Python
104,ml-shuffling-amplification,Python
105,ml-spatial-librispeech,
106,ml-spin,Python
107,ml-stable-diffusion,Python
108,ml-stuttering-events-dataset,Python
109,ml-symphony,Svelte
110,ml-tract,Python
111,ml-transcript-translation-consistency-ratings,
112,ml-translate-vis,TypeScript
113,ml-tree-dst,Python
114,ml-tune-mode-convbn,Python
115,ml-upscale,Jupyter Notebook
116,ml-uwac,Python
117,ml-vfi-smiff,Python
118,openjdk,Java
119,password-manager-resources,JavaScript
120,sample-backyard-birds,Swift
121,sample-cloudkit-coredatasync,Swift
122,sample-cloudkit-encryption,Swift
123,sample-cloudkit-privatedb,Swift
124,sample-cloudkit-privatedb-sync,Swift
125,sample-cloudkit-queries,Swift
126,sample-cloudkit-sharing,Swift
127,sample-cloudkit-sync-engine,Swift
128,sample-cloudkit-tooling,JavaScript
129,sample-cloudkit-zonesharing,Swift
130,sample-food-truck,Swift
131,servicetalk,Java
132,sourcekit-lsp,Swift
133,swift,C++
134,swift-3-api-guidelines-review,Swift
135,swift-algorithms,Swift
136,swift-argument-parser,Swift
137,swift-asn1,Swift
138,swift-async-algorithms,Swift
139,swift-async-dns-resolver,Swift
140,swift-atomics,Swift
141,swift-book,Markdown
142,swift-cassandra-client,Swift
143,swift-certificates,Swift
144,swift-clang,C++
145,swift-clang-tools-extra,C++
146,swift-cluster-membership,Swift
147,swift-cmake-examples,CMake
148,swift-cmark,C
149,swift-collections,Swift
150,swift-collections-benchmark,Swift
151,swift-community-hosted-continuous-integration,
152,swift-compiler-rt,C
153,swift-corelibs-foundation,Swift
154,swift-corelibs-libdispatch,C
155,swift-corelibs-xctest,Swift
156,swift-crypto,C
157,swift-distributed-actors,Swift
158,swift-distributed-tracing,Swift
159,swift-distributed-tracing-baggage-core,Swift
160,swift-distributed-tracing-extras,Swift
161,swift-docc,Swift
162,swift-docc-plugin,Swift
163,swift-docc-render,JavaScript
164,swift-docc-render-artifact,
165,swift-docc-symbolkit,Swift
166,swift-docker,Dockerfile
167,swift-driver,Swift
168,swift-evolution,Markdown
169,swift-evolution-staging,Swift
170,swift-experimental-string-processing,Swift
171,swift-format,Swift
172,swift-foundation,Swift
173,swift-foundation-icu,C
174,swift-getting-started-cli,Swift
175,swift-getting-started-package-library,Swift
176,swift-http-structured-headers,Swift
177,swift-http-types,Swift
178,swift-installer-scripts,CMake
179,swift-integration-tests,Python
180,swift-internals,HTML
181,swift-issues,
182,swift-libcxx,C++
183,swift-llbuild,C++
184,swift-llbuild2,Swift
185,swift-lldb,C++
186,swift-llvm,LLVM
187,swift-llvm-bindings,Swift
188,swift-lmdb,C
189,swift-log,Swift
190,swift-markdown,Swift
191,swift-metrics,Swift
192,swift-metrics-extras,Swift
193,swift-nio,Swift
194,swift-nio-examples,Swift
195,swift-nio-extras,Swift
196,swift-nio-http2,Swift
197,swift-nio-imap,Swift
198,swift-nio-nghttp2-support,Swift
199,swift-nio-ssh,Swift
200,swift-nio-ssl,C
201,swift-nio-ssl-support,Swift
202,swift-nio-transport-services,Swift
203,swift-nio-zlib-support,Swift
204,swift-numerics,Swift
205,swift-openapi-generator,Swift
206,swift-openapi-runtime,Swift
207,swift-openapi-urlsession,Swift
208,swift-org-website,SCSS
209,swift-package-collection-generator,Swift
210,swift-package-manager,Swift
211,swift-package-registry-compatibility-test-suite,Swift
212,swift-protobuf,Swift
213,swift-protobuf-plugin,
214,swift-protobuf-test-conformance,
215,swift-sample-distributed-actors-transport,Swift
216,swift-sdk-generator,Swift
217,swift-se0270-range-set,Swift
218,swift-se0288-is-power,Swift
219,swift-service-context,Swift
220,swift-service-discovery,Swift
221,swift-source-compat-suite,Python
222,swift-standard-library-preview,Swift
223,swift-statsd-client,Swift
224,swift-stress-tester,Swift
225,swift-syntax,Swift
226,swift-system,Swift
227,swift-testing,Swift
228,swift-tools-support-async,Swift
229,swift-tools-support-core,Swift
230,swift-xcode-playground-support,Swift
231,swiftpm-on-llbuild2,Swift
232,tensorflow_macos,Shell
233,turicreate,C++
234,unityplugins,C#
235,VideoFlashingReduction,Mathematica
236,vqg-multimodal-assistant,Python
